Data,Chuva -Maria,Nível-Maria
07/02/2020 14:00,0,89483
07/02/2020 13:30,,89484
07/02/2020 13:00,0,89485
07/02/2020 12:30,,89488
07/02/2020 12:00,0,89489
07/02/2020 11:30,,89492
07/02/2020 11:00,0,89496
07/02/2020 10:30,,89499
07/02/2020 10:00,0,89500
07/02/2020 09:30,,89501
07/02/2020 09:00,0,89502
07/02/2020 08:30,,89504
07/02/2020 08:00,0,89504
07/02/2020 07:30,,89504
07/02/2020 07:00,0,89504
07/02/2020 06:30,,89502
07/02/2020 06:00,0,89500
07/02/2020 05:30,,89499
07/02/2020 05:00,0,89498
07/02/2020 04:30,,89498
07/02/2020 04:00,0,89498
07/02/2020 03:30,,89498
07/02/2020 03:00,0,89498
07/02/2020 02:30,,89498
07/02/2020 02:00,0,89498
07/02/2020 01:30,,89497
07/02/2020 01:00,0,89496
07/02/2020 00:30,,89494
07/02/2020 00:00,0,89495
06/02/2020 23:30,,89496
06/02/2020 23:00,0,89496
06/02/2020 22:40,,89498
06/02/2020 22:00,0,89499
06/02/2020 21:30,,89500
06/02/2020 21:00,0,89498
06/02/2020 20:30,,89499
06/02/2020 20:00,0,89504
06/02/2020 19:30,,89510
06/02/2020 19:00,0,89510
06/02/2020 18:30,,89500
06/02/2020 18:00,0,89483
06/02/2020 17:30,,89482
06/02/2020 17:00,0,89483
06/02/2020 16:30,,89484
06/02/2020 16:00,0,89484
06/02/2020 15:30,,89484
06/02/2020 15:00,0,89485
06/02/2020 14:30,,89488
06/02/2020 14:00,0,89490
06/02/2020 13:30,,89490
06/02/2020 13:00,0,89487
06/02/2020 12:30,,89487
06/02/2020 12:00,0,89487
06/02/2020 11:30,,89488
06/02/2020 11:00,0,89490
06/02/2020 10:30,,89490
06/02/2020 10:00,0,89490
06/02/2020 09:30,,89489
06/02/2020 09:00,0,89487
06/02/2020 08:30,,89486
06/02/2020 08:00,0,89485
06/02/2020 07:30,,89484
06/02/2020 07:00,0,89484
06/02/2020 06:30,,89484
06/02/2020 06:00,0,89483
06/02/2020 05:30,,89484
06/02/2020 05:00,0,89484
06/02/2020 04:30,,89485
06/02/2020 04:00,0,89486
06/02/2020 03:30,,89487
06/02/2020 03:00,0,89486
06/02/2020 02:30,,89485
06/02/2020 02:00,0,89484
06/02/2020 01:30,,89484
06/02/2020 01:00,0,89484
06/02/2020 00:30,,89485
06/02/2020 00:00,,89487
05/02/2020 23:30,,89489
05/02/2020 23:10,,89492
05/02/2020 22:30,,89490
05/02/2020 22:00,0,89483
05/02/2020 21:30,,89481
05/02/2020 21:00,0,89479
05/02/2020 20:30,,89475
05/02/2020 20:00,0,89475
05/02/2020 19:30,,89476
05/02/2020 19:00,0,89473
05/02/2020 18:30,,89474
05/02/2020 18:00,0,89474
05/02/2020 17:30,,89474
05/02/2020 17:00,0,89475
05/02/2020 16:30,,89475
05/02/2020 16:00,0,89476
05/02/2020 15:30,,89476
05/02/2020 15:00,0,89476
05/02/2020 14:30,,89477
05/02/2020 14:00,0,89477
05/02/2020 13:30,,89477
05/02/2020 13:00,0,89476
05/02/2020 12:30,,89475
05/02/2020 12:00,,89474
05/02/2020 11:30,,89474
05/02/2020 11:10,,89473
05/02/2020 10:30,,89473
05/02/2020 10:00,0,89472
05/02/2020 09:30,,89472
05/02/2020 09:00,0,89471
05/02/2020 08:30,,89470
05/02/2020 08:00,0,89471
05/02/2020 07:30,,89471
05/02/2020 07:00,0,89471
05/02/2020 06:30,,89471
05/02/2020 06:00,0,89471
05/02/2020 05:30,,89471
05/02/2020 05:00,0,89471
05/02/2020 04:30,,89471
05/02/2020 04:00,0,89470
05/02/2020 03:30,,89470
05/02/2020 03:00,0,89470
05/02/2020 02:30,,89470
05/02/2020 02:00,0,89471
05/02/2020 01:30,,89470
05/02/2020 01:00,0,89470
05/02/2020 00:30,,89471
05/02/2020 00:00,0,89470
04/02/2020 23:30,,89471
04/02/2020 23:00,0,89471
04/02/2020 22:30,,89471
04/02/2020 22:00,0,89471
04/02/2020 21:30,,89471
04/02/2020 21:00,0,89471
04/02/2020 20:00,0,89472
04/02/2020 19:30,,89472
04/02/2020 19:00,0,89479
04/02/2020 18:30,,89480
04/02/2020 18:00,0,89480
04/02/2020 17:30,,89480
04/02/2020 17:00,0,89481
04/02/2020 16:30,,89481
04/02/2020 16:00,,89481
04/02/2020 15:30,,89481
04/02/2020 15:00,,89482
04/02/2020 14:40,,89481
04/02/2020 14:30,,89481
